sample_id,url,label,label_name,source,source_id,source_metadata,score,risk,prediction,prediction_name,correct,indicator_count,indicators
PG-0001,https://manulife-sinochem.com/,0,legitimate,Tranco,2134,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0002,https://docs.google.com/presentation/d/e/2PACX-1vTcm4NPKSrzCSMOBgUX5C0AYB6yIRpSgcruq8M-9e7Eq_QVjYmL2I2pYrX43eWRNj7awv4N7T-BVf6j/pub?start=false&amp;loop=false&amp;delayms=3000,1,phishing,PhishTank,8617691,Other,9,LOW RISK,1,phishing,True,1,LONG_URL
PG-0003,https://hugedomains.com/,0,legitimate,Tranco,1295,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0004,https://likeevideo.ru/,0,legitimate,Tranco,3121,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0005,https://donovan22.weebly.com/,1,phishing,PhishTank,9477064,Comcast,5,LOW RISK,1,phishing,True,1,HOSTED_PLATFORM
PG-0006,https://monster.com/,0,legitimate,Tranco,4993,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0007,https://gr-mygov.web.app/,1,phishing,PhishTank,8101675,Other,5,LOW RISK,1,phishing,True,1,HOSTED_PLATFORM
PG-0008,https://apptread.dynv6.net/po0y1/x-zonce/,1,phishing,PhishTank,9495408,Other,0,LOW RISK,0,legitimate,False,0,
PG-0009,https://ledixslca.firebaseapp.com/,1,phishing,PhishTank,8232343,Other,5,LOW RISK,1,phishing,True,1,HOSTED_PLATFORM
PG-0010,https://cambridge.org/,0,legitimate,Tranco,669,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0011,https://rollingstone.com/,0,legitimate,Tranco,2432,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0012,https://morningstar.com/,0,legitimate,Tranco,3860,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0013,https://twinrdengine.com/,0,legitimate,Tranco,3550,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0014,https://tr.ee/xNOmKr,1,phishing,PhishTank,9449465,Other,0,LOW RISK,0,legitimate,False,0,
PG-0015,https://docs.google.com/presentation/d/e/2PACX-1vQuOThtN0a8ylpbxZfzrtpIcmOnR0BKnp6ML9DdtTcwGy1RUQUblM2wIW9N0kbCdPEQvjX4mfknMM5D/pub?start=false&amp;loop=false&amp;delayms=3000,1,phishing,PhishTank,8499441,Other,9,LOW RISK,1,phishing,True,1,LONG_URL
PG-0016,https://multiple-teams-104491.framer.app/,1,phishing,PhishTank,9473347,Other,5,LOW RISK,1,phishing,True,1,HOSTED_PLATFORM
PG-0017,https://suites-en.wixstudio.com/live-en,1,phishing,PhishTank,9407954,Other,5,LOW RISK,1,phishing,True,1,HOSTED_PLATFORM
PG-0018,https://docs.google.com/presentation/d/e/2PACX-1vRDW6_3o30VAIscq-nlAH_lBkzqADW63zTCnO12nmBu-cW3CUIFlRvn018ylO9eD-xs-rhBSyeUk070/pub?start=false&amp;loop=false&amp;delayms=3000,1,phishing,PhishTank,8507199,Other,9,LOW RISK,1,phishing,True,1,LONG_URL
PG-0019,https://docs.google.com/presentation/d/e/2PACX-1vSKxmJwPSaCU_aOEjJ2CCWJZdQBuJo0WvUChxFo9jW7UaPBn3gXfA83bXmtfy_oV3sJfnhlWukkBODW/pub?start=false&loop=false&delayms=3000&slide=id.p,1,phishing,PhishTank,8436572,Other,9,LOW RISK,1,phishing,True,1,LONG_URL
PG-0020,https://claim-qcx.netlify.app/,1,phishing,PhishTank,9508837,Other,5,LOW RISK,1,phishing,True,1,HOSTED_PLATFORM
PG-0021,https://laracasts.com/,0,legitimate,Tranco,2931,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0022,https://dns.pt/,0,legitimate,Tranco,4229,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0023,https://docs.google.com/presentation/d/e/2PACX-1vTG2gI3frU9yzspF05jclmuZFlpI67qFCn3Lg8Rt-vo4FG88h8oh442ELnCFu7-6MwLwWhbCr0F6wBu/pub?start=false&amp;loop=false&amp;delayms=3000,1,phishing,PhishTank,8815880,Other,9,LOW RISK,1,phishing,True,1,LONG_URL
PG-0024,https://desktop-used.wixstudio.com/enus,1,phishing,PhishTank,9399775,Other,5,LOW RISK,1,phishing,True,1,HOSTED_PLATFORM
PG-0025,https://q-r.to/bgE7md,1,phishing,PhishTank,9188423,Other,0,LOW RISK,0,legitimate,False,0,
PG-0026,https://pardot.com/,0,legitimate,Tranco,4897,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0027,https://iecohuanbao.com/?type=verify&amp;key=bzqultroqv,1,phishing,PhishTank,9452789,Other,4,LOW RISK,0,legitimate,False,1,SUSPICIOUS_KEYWORDS
PG-0028,https://ytrtyuytuyt.weebly.com/,1,phishing,PhishTank,9273103,Other,5,LOW RISK,1,phishing,True,1,HOSTED_PLATFORM
PG-0029,https://dmcdn.net/,0,legitimate,Tranco,4405,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0030,https://tiktokcdn.com/,0,legitimate,Tranco,78,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0031,https://pornone.com/,0,legitimate,Tranco,1322,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0032,https://kinghost.com.br/,0,legitimate,Tranco,2860,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0033,https://surl.li/hcancz,1,phishing,PhishTank,9465302,Other,0,LOW RISK,0,legitimate,False,0,
PG-0034,https://bac-bvloh.com,1,phishing,PhishTank,9466150,Other,0,LOW RISK,0,legitimate,False,0,
PG-0035,https://dtesf2.cl/olkhh/kijhg/web/authen.php,1,phishing,PhishTank,9485936,Other,4,LOW RISK,0,legitimate,False,1,SUSPICIOUS_KEYWORDS
PG-0036,https://docs.google.com/presentation/d/e/2PACX-1vTNnHNa95d4Mbp2KW4rZz-6vRfqwXs9qMuMrrm0s0hEFNWrqhmwjgoUhrOov7jVjjdyL18ZwZRfKt9a/pub?start=false&amp;loop=false&amp;delayms=3000,1,phishing,PhishTank,8827174,Other,9,LOW RISK,1,phishing,True,1,LONG_URL
PG-0037,https://slack-edge.com/,0,legitimate,Tranco,3578,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0038,http://optikgeneral.com/Webmail/7/Webmail/webmail.php,1,phishing,PhishTank,8429289,Other,12,LOW RISK,1,phishing,True,1,HTTP_SCHEME
PG-0039,https://zscaler.com/,0,legitimate,Tranco,2868,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0040,https://made-in-china.com/,0,legitimate,Tranco,2487,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0041,https://dnse4.com/,0,legitimate,Tranco,2120,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0042,https://secupasssverif-sg.com/,1,phishing,PhishTank,9520217,Soci̩t̩ G̩n̩rale,0,LOW RISK,0,legitimate,False,0,
PG-0043,https://visualstudio.com/,0,legitimate,Tranco,541,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0044,https://apps-start-iotrecon.wixstudio.com/open,1,phishing,PhishTank,9467365,Other,5,LOW RISK,1,phishing,True,1,HOSTED_PLATFORM
PG-0045,https://google.se/,0,legitimate,Tranco,3336,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0046,https://state.gov/,0,legitimate,Tranco,933,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0047,https://awsdns-05.com/,0,legitimate,Tranco,3811,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0048,https://myeet.m-pages.com/wBXU7A/ee-tm,1,phishing,PhishTank,9013760,Other,0,LOW RISK,0,legitimate,False,0,
PG-0049,https://4frontccu.weebly.com/,1,phishing,PhishTank,9497025,Other,5,LOW RISK,1,phishing,True,1,HOSTED_PLATFORM
PG-0050,https://emailsahwservice.weebly.com/,1,phishing,PhishTank,9377363,Other,5,LOW RISK,1,phishing,True,1,HOSTED_PLATFORM
PG-0051,https://tesla.services/,0,legitimate,Tranco,2921,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0052,https://bit.ly/3Yndasg,1,phishing,PhishTank,8057389,Other,12,LOW RISK,1,phishing,True,1,URL_SHORTENER
PG-0053,https://xhamster.desi/,0,legitimate,Tranco,1059,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
