sample_id,url,label,label_name,source,source_id,source_metadata,score,risk,prediction,prediction_name,correct,indicator_count,indicators
PG-0008,https://apptread.dynv6.net/po0y1/x-zonce/,1,phishing,PhishTank,9495408,Other,0,LOW RISK,0,legitimate,False,0,
PG-0014,https://tr.ee/xNOmKr,1,phishing,PhishTank,9449465,Other,0,LOW RISK,0,legitimate,False,0,
PG-0025,https://q-r.to/bgE7md,1,phishing,PhishTank,9188423,Other,0,LOW RISK,0,legitimate,False,0,
PG-0027,https://iecohuanbao.com/?type=verify&amp;key=bzqultroqv,1,phishing,PhishTank,9452789,Other,4,LOW RISK,0,legitimate,False,1,SUSPICIOUS_KEYWORDS
PG-0033,https://surl.li/hcancz,1,phishing,PhishTank,9465302,Other,0,LOW RISK,0,legitimate,False,0,
PG-0034,https://bac-bvloh.com,1,phishing,PhishTank,9466150,Other,0,LOW RISK,0,legitimate,False,0,
PG-0035,https://dtesf2.cl/olkhh/kijhg/web/authen.php,1,phishing,PhishTank,9485936,Other,4,LOW RISK,0,legitimate,False,1,SUSPICIOUS_KEYWORDS
PG-0042,https://secupasssverif-sg.com/,1,phishing,PhishTank,9520217,Soci̩t̩ G̩n̩rale,0,LOW RISK,0,legitimate,False,0,
PG-0048,https://myeet.m-pages.com/wBXU7A/ee-tm,1,phishing,PhishTank,9013760,Other,0,LOW RISK,0,legitimate,False,0,
PG-0055,https://allegro.938327382939129gfog.sbs/,1,phishing,PhishTank,9420427,Allegro,0,LOW RISK,0,legitimate,False,0,
PG-0057,https://wordpress-211144-0.cloudclusters.net/Axa/axafixedV4/,1,phishing,PhishTank,9416747,Other,0,LOW RISK,0,legitimate,False,0,
PG-0060,https://q-r.to/bgbvEq,1,phishing,PhishTank,9343250,Other,0,LOW RISK,0,legitimate,False,0,
PG-0061,https://savesyrianow.com,1,phishing,PhishTank,9448618,Other,0,LOW RISK,0,legitimate,False,0,
PG-0065,https://qrco.de/bfZ4gr?trackingid=x97cDFAL&amp;signature=newsletter,1,phishing,PhishTank,8857386,Other,0,LOW RISK,0,legitimate,False,0,
PG-0068,https://l.ead.me/bfU4XB,1,phishing,PhishTank,8811276,Other,0,LOW RISK,0,legitimate,False,0,
PG-0070,https://l.ead.me/bfFgEE,1,phishing,PhishTank,8676402,Other,0,LOW RISK,0,legitimate,False,0,
PG-0074,https://l.ead.me/bfKY3e,1,phishing,PhishTank,8728515,Other,0,LOW RISK,0,legitimate,False,0,
PG-0088,https://bassbodyfuel.com/nz/airnewzealand/,1,phishing,PhishTank,9511276,Other,0,LOW RISK,0,legitimate,False,0,
PG-0091,https://qrco.de/bfah7j,1,phishing,PhishTank,8872531,Other,0,LOW RISK,0,legitimate,False,0,
PG-0100,https://allegrolokalnie.lokalna-9112.shop/oferta/G-Skill-Trident-Z5-DDR5-32GB-6000MHz-CL26-EXPO-RGB-RAM/175712207,1,phishing,PhishTank,9489665,Allegro,0,LOW RISK,0,legitimate,False,0,
PG-0105,https://docs.google.com/forms/d/e/1FAIpQLSemiNgQGl-SZchhDYddYBfRfboUZA3KAwpfPXYDipst_skhiw/viewform,1,phishing,PhishTank,9256748,Other,0,LOW RISK,0,legitimate,False,0,
PG-0112,https://hyperliquid.xyz/,0,legitimate,Tranco,4381,top-ranked domain,7,LOW RISK,1,phishing,False,1,SUSPICIOUS_TLD
PG-0122,https://aqui12ecu.webcindario.com/,1,phishing,PhishTank,9306244,Other,0,LOW RISK,0,legitimate,False,0,
PG-0126,https://zpr.io/KfDm8u2WhUqQ,1,phishing,PhishTank,9354962,Other,0,LOW RISK,0,legitimate,False,0,
PG-0130,https://qrco.de/bgboBj,1,phishing,PhishTank,9337838,Other,0,LOW RISK,0,legitimate,False,0,
PG-0131,https://qrco.de/bfIlxw,1,phishing,PhishTank,8709707,Other,0,LOW RISK,0,legitimate,False,0,
PG-0136,https://qrco.de/bgadQY,1,phishing,PhishTank,9326132,Other,0,LOW RISK,0,legitimate,False,0,
PG-0142,https://pub-f93f0e86a9444bacbe8b4f015f8c7ce6.r2.dev/link.html,1,phishing,PhishTank,8255390,Other,0,LOW RISK,0,legitimate,False,0,
PG-0143,https://biolinky.co/infosever/,1,phishing,PhishTank,9269991,Other,0,LOW RISK,0,legitimate,False,0,
PG-0148,https://nanshazs.com,1,phishing,PhishTank,9497291,Other,0,LOW RISK,0,legitimate,False,0,
PG-0151,https://sol-convert.com/,1,phishing,PhishTank,9504634,Other,0,LOW RISK,0,legitimate,False,0,
PG-0153,https://www.pluswelln.com/web,1,phishing,PhishTank,9436462,Apple,0,LOW RISK,0,legitimate,False,0,
PG-0154,https://manager.meridian-rentacar.com/,1,phishing,PhishTank,9380580,Other,0,LOW RISK,0,legitimate,False,0,
PG-0155,https://rfefrgdgfddf.duckdns.org/,1,phishing,PhishTank,9481840,Other,0,LOW RISK,0,legitimate,False,0,
PG-0157,https://ni-jp.co,1,phishing,PhishTank,9456395,Other,0,LOW RISK,0,legitimate,False,0,
PG-0159,https://ozkillikvincgaleri.com.tr/wp-includes/ar24,1,phishing,PhishTank,9286884,Other,0,LOW RISK,0,legitimate,False,0,
PG-0161,https://mjhiggs2011.wixsite.com/my-site-1,1,phishing,PhishTank,9257184,Other,0,LOW RISK,0,legitimate,False,0,
PG-0166,https://pub-6502dddebdc447ed9023277db681dd94.r2.dev/vm3.html,1,phishing,PhishTank,8166849,Other,0,LOW RISK,0,legitimate,False,0,
PG-0169,https://zwzggjbl.shop/soFbneFy/,1,phishing,PhishTank,9513095,Sumitomo Mitsui Banking Corporation,0,LOW RISK,0,legitimate,False,0,
PG-0170,https://qrco.de/behqax,1,phishing,PhishTank,8421473,Other,0,LOW RISK,0,legitimate,False,0,
PG-0176,https://wbc1.webcindario.com/,1,phishing,PhishTank,8329759,Other,0,LOW RISK,0,legitimate,False,0,
PG-0181,https://ungu.in/erhaerfhbrthbavwef,1,phishing,PhishTank,9158082,Other,0,LOW RISK,0,legitimate,False,0,
PG-0183,https://distribuidora-nacional.duckdns.org/,1,phishing,PhishTank,9462630,Other,0,LOW RISK,0,legitimate,False,0,
PG-0186,https://frgrgjfeijfegrfeifei.cfolks.pl/cr/fo/auth/log.php,1,phishing,PhishTank,9455558,Other,4,LOW RISK,0,legitimate,False,1,SUSPICIOUS_KEYWORDS
PG-0187,https://qrco.de/bfSOZO,1,phishing,PhishTank,8795246,Other,0,LOW RISK,0,legitimate,False,0,
PG-0188,https://l.ead.me/bfMSZr,1,phishing,PhishTank,8743712,Other,0,LOW RISK,0,legitimate,False,0,
PG-0190,https://l.ead.me/bfJc7K,1,phishing,PhishTank,8719075,Other,0,LOW RISK,0,legitimate,False,0,
PG-0193,https://pub-0d275574d47649ed9944322d102ec15d.r2.dev/index.html,1,phishing,PhishTank,9211918,Other,0,LOW RISK,0,legitimate,False,0,
PG-0194,https://new.express.adobe.com/webpage/MYwNuortC0P4k,1,phishing,PhishTank,8386825,Other,0,LOW RISK,0,legitimate,False,0,
PG-0195,https://app-use88aception.start.page/,1,phishing,PhishTank,8066468,Facebook,0,LOW RISK,0,legitimate,False,0,
PG-0205,https://delivery1066n.m93227143.pro/,1,phishing,PhishTank,9508271,Other,0,LOW RISK,0,legitimate,False,0,
PG-0207,https://suivi5537r.serv4571563.pro/,1,phishing,PhishTank,9507124,Other,0,LOW RISK,0,legitimate,False,0,
PG-0209,https://sites.google.com/view/567865654678998/,1,phishing,PhishTank,9214647,Other,0,LOW RISK,0,legitimate,False,0,
PG-0210,https://www.8269sf.com,1,phishing,PhishTank,9497257,Other,0,LOW RISK,0,legitimate,False,0,
PG-0211,https://www.mymontlhmem.com/,1,phishing,PhishTank,9495162,Other,0,LOW RISK,0,legitimate,False,0,
PG-0216,https://allegro-lokalnie.9209288774g.lat/,1,phishing,PhishTank,9420792,Allegro,0,LOW RISK,0,legitimate,False,0,
