threshold,tp,tn,fp,fn,accuracy,precision,recall,specificity,f1,false_positive_rate,false_negative_rate
10,35,249,1,215,0.568,0.9722222222222222,0.14,0.996,0.2447552447552448,0.004,0.86
15,11,249,1,239,0.52,0.9166666666666666,0.044,0.996,0.08396946564885496,0.004,0.956
20,6,250,0,244,0.512,1.0,0.024,1.0,0.046875,0.0,0.976
25,2,250,0,248,0.504,1.0,0.008,1.0,0.015873015873015872,0.0,0.992
30,1,250,0,249,0.502,1.0,0.004,1.0,0.00796812749003984,0.0,0.996
35,0,250,0,250,0.5,0.0,0.0,1.0,0.0,0.0,1.0
40,0,250,0,250,0.5,0.0,0.0,1.0,0.0,0.0,1.0
45,0,250,0,250,0.5,0.0,0.0,1.0,0.0,0.0,1.0
50,0,250,0,250,0.5,0.0,0.0,1.0,0.0,0.0,1.0
55,0,250,0,250,0.5,0.0,0.0,1.0,0.0,0.0,1.0
60,0,250,0,250,0.5,0.0,0.0,1.0,0.0,0.0,1.0
65,0,250,0,250,0.5,0.0,0.0,1.0,0.0,0.0,1.0
70,0,250,0,250,0.5,0.0,0.0,1.0,0.0,0.0,1.0
75,0,250,0,250,0.5,0.0,0.0,1.0,0.0,0.0,1.0
80,0,250,0,250,0.5,0.0,0.0,1.0,0.0,0.0,1.0
85,0,250,0,250,0.5,0.0,0.0,1.0,0.0,0.0,1.0
90,0,250,0,250,0.5,0.0,0.0,1.0,0.0,0.0,1.0
